IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.70.48.227,443,443,true,FRA,Europe,Frankfurt,334,4.68
155.248.202.141,443,443,true,SJC,North America,San Jose,191,4.66
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,109,4.65
152.70.57.69,443,443,true,FRA,Europe,Frankfurt,278,4.63
158.178.157.96,443,443,true,FRA,Europe,Frankfurt,255,4.55
129.159.47.255,443,443,true,SJC,North America,San Jose,186,4.51
152.67.231.219,443,443,true,SJC,North America,San Jose,191,4.49
132.226.128.228,443,443,true,FRA,Europe,Frankfurt,256,4.47
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,255,4.38
129.153.213.8,443,443,true,LAX,North America,Los Angeles,197,4.37
130.61.206.26,443,443,true,FRA,Europe,Frankfurt,250,4.35
146.235.219.98,443,443,true,SJC,North America,San Jose,185,4.29
131.186.39.231,443,443,true,NRT,Asia Pacific,Tokyo,99,4.29
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,330,4.23
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,328,4.07
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,89,4.07
155.248.196.123,443,443,true,YVR,North America,Vancouver,186,4.04
132.145.54.84,8443,443,true,LHR,Europe,London,253,4.04
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,190,3.98
138.2.149.99,443,443,true,FRA,Europe,Frankfurt,320,3.98
138.2.138.112,443,443,true,FRA,Europe,Frankfurt,319,3.97
138.2.168.160,443,443,true,FRA,Europe,Frankfurt,317,3.92
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,332,3.92
150.230.116.93,443,443,true,FRA,Europe,Frankfurt,390,3.90
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,325,3.89
132.145.253.82,443,443,true,FRA,Europe,Frankfurt,251,3.87
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,335,3.87
158.180.35.205,443,443,true,FRA,Europe,Frankfurt,326,3.83
141.147.50.5,443,443,true,FRA,Europe,Frankfurt,246,3.82
158.180.60.185,443,443,true,FRA,Europe,Frankfurt,247,3.81
141.144.234.207,443,443,true,FRA,Europe,Frankfurt,339,3.78
130.162.253.220,443,443,true,FRA,Europe,Frankfurt,247,3.77
158.101.213.231,443,443,true,FRA,Europe,Frankfurt,328,3.77
158.180.14.56,443,443,true,FRA,Europe,Frankfurt,381,3.76
141.147.9.17,443,443,true,FRA,Europe,Frankfurt,337,3.75
158.180.15.75,443,443,true,FRA,Europe,Frankfurt,274,3.73
150.230.150.55,443,443,true,FRA,Europe,Frankfurt,324,3.72
130.162.242.176,443,443,true,FRA,Europe,Frankfurt,256,3.72
152.70.73.77,443,443,true,SJC,North America,San Jose,86,3.72
158.180.29.172,443,443,true,FRA,Europe,Frankfurt,324,3.71
129.159.207.125,443,443,true,FRA,Europe,Frankfurt,255,3.70
131.186.25.200,2053,443,true,ICN,Asia Pacific,Seoul,105,3.70
130.61.185.98,443,443,true,FRA,Europe,Frankfurt,327,3.70
158.180.46.179,443,443,true,FRA,Europe,Frankfurt,327,3.69
158.180.34.87,443,443,true,FRA,Europe,Frankfurt,327,3.69
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,327,3.68
129.159.201.18,443,443,true,FRA,Europe,Frankfurt,329,3.68
193.123.61.78,443,443,true,FRA,Europe,Frankfurt,265,3.68
158.180.22.99,443,443,true,FRA,Europe,Frankfurt,268,3.68
158.178.206.197,2053,443,true,CDG,Europe,Paris,253,3.65
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,255,3.64
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,327,3.64
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,320,3.63
158.101.211.105,443,443,true,FRA,Europe,Frankfurt,253,3.63
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,269,3.62
141.148.244.224,443,443,true,FRA,Europe,Frankfurt,342,3.62
158.101.209.73,443,443,true,FRA,Europe,Frankfurt,332,3.62
141.144.241.188,443,443,true,FRA,Europe,Frankfurt,249,3.62
141.148.247.14,443,443,true,FRA,Europe,Frankfurt,345,3.61
141.148.235.84,443,443,true,FRA,Europe,Frankfurt,328,3.61
141.147.84.216,443,443,true,FRA,Europe,Frankfurt,264,3.60
158.178.150.17,443,443,true,FRA,Europe,Frankfurt,255,3.60
141.147.50.216,443,443,true,FRA,Europe,Frankfurt,247,3.60
193.123.58.138,443,443,true,FRA,Europe,Frankfurt,261,3.59
141.148.244.79,443,443,true,FRA,Europe,Frankfurt,273,3.58
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,246,3.58
